"","Country","crime_index","eco_EPI_score_2016","education","freedom status","PR","CL","Freedom rating","aggregated_score_freedom","health_index","personal_income_tax"
"1","Afghanistan",108,5,15,2,"6","6",11,16,NA,8
"2","Albania",56,103,124,3,"3","3",5,53,NA,11
"3","Algeria",71,83,60,2,"6","5",10,26,NA,21
"4","Andorra",NA,NA,NA,1,"1","1",1,82,45,NA
"5","Angola",100,33,NA,2,"6","6",11,16,NA,6
"6","Antigua and Barbuda",NA,50,NA,1,"2","2",3,68,NA,NA
"7","Argentina",95,120,73,1,"2","2",3,64,NA,21
"8","Armenia",52,126,115,3,"5","4",8,35,NA,23
"9","Australia",47,149,127,1,"1","1",1,84,19,30
"10","Austria",4,144,122,1,"1","1",1,81,40,41
"11","Azerbaijan",51,132,111,2,"7","6",12,9,NA,13
"12","Bahamas",NA,NA,NA,1,"1","1",1,78,NA,1
"13","Bahrain",30,80,79,2,"7","6",12,7,11,1
"14","Bangladesh",102,8,88,3,"4","4",7,37,NA,17
"15","Barbados",NA,37,112,1,"1","1",1,84,8,20
"16","Belarus",9,128,130,2,"7","6",12,10,NA,3
"17","Belgium",57,122,116,1,"1","1",1,82,29,40
"18","Belize",NA,97,57,1,"1","2",2,72,NA,NA
"19","Benin",NA,14,32,1,"2","2",3,68,NA,NA
"20","Bhutan",NA,60,91,3,"3","4",6,43,NA,NA
"21","Bolivia",91,90,56,3,"3","3",5,54,NA,3
"22","Bosnia and Herzegovina",NA,51,NA,3,"4","3",6,44,NA,2
"23","Botswana",89,87,98,1,"3","2",4,59,NA,13
"24","Brazil",105,117,42,1,"2","2",3,67,NA,15
"25","Brunei",NA,NA,NA,2,"6","5",10,20,NA,1
"26","Bulgaria",42,130,74,1,"2","2",3,66,NA,2
"27","Burkina Faso",NA,15,11,3,"4","3",6,45,NA,NA
"28","Burundi",NA,12,4,2,"7","6",12,12,NA,NA
"29","Cambodia",85,32,40,2,"6","5",10,23,NA,8
"30","Cameroon",NA,41,10,2,"6","6",11,16,NA,21
"31","Canada",39,137,NA,1,"1","1",1,85,20,19
"32","Cape Verde",NA,35,46,1,"1","1",1,76,NA,NA
"33","Central African Republic",NA,21,7,2,"7","7",13,56,NA,NA
"34","Chad",NA,6,24,2,"7","6",12,14,NA,46
"35","Chile",66,111,80,1,"1","1",1,81,18,27
"36","China",27,61,76,2,"7","6",12,9,NA,30
"37","Colombia",80,107,101,3,"3","4",6,50,28,19
"38","Comoros",NA,27,21,3,"3","4",6,42,NA,NA
"39","Congo. Democratic Republic of (Kinshasa)",NA,NA,NA,2,"6","6",11,17,NA,NA
"40","Congo. Republic of (Brazzaville)",NA,NA,NA,2,"6","5",10,19,NA,NA
"41","Costa Rica",87,121,85,1,"1","1",1,76,15,4
"42","Crimea *",NA,NA,NA,2,"7","6",12,75,NA,NA
"43","Croatia",17,147,120,1,"1","2",2,72,10,32
"44","Cuba",NA,118,102,2,"7","6",12,8,13,NA
"45","Cyprus",25,123,129,1,"1","1",1,80,26,21
