Country;crime_index;eco_EPI_score_2016;education;aggregated_score_freedom;health_index;personal_income_tax;lat;long
Afghanistan;108;5;15;16;63;8;33.93911;67.709953
Albania;56;103;124;53;88;11;41.153332;20.168331
Algeria;71;83;60;26;76;21;28.033886;1.659626
Andorra;4;80;100;82;94;10;42.546245;1.601554
Angola;100;33;16;16;49;6;-11.202692;17.873887
Antigua and Barbuda;30;50;60;68;86;1;17.060816;-61.796428
Argentina;95;120;73;64;87;21;-38.416097;-63.616672
Armenia;52;126;115;35;84;23;40.069099;45.038189
Australia;47;149;127;84;96;30;-25.274398;133.775136
Austria;4;144;122;81;94;41;47.516231;14.550072
Azerbaijan;51;132;111;9;78;13;40.143105;47.576927
Bahamas;50;80;90;78;85;1;25.03428;-77.39628
Bahrain;30;80;79;7;87;1;25.930414;50.637772
Bangladesh;102;8;88;37;78;17;23.684994;90.356331
Barbados;35;37;112;84;85;20;13.193887;-59.543198
Belarus;9;128;130;10;77;3;53.709807;27.953389
Belgium;57;122;116;82;93;40;50.503887;4.469936
Belize;60;97;57;72;83;22;17.189877;-88.49765
Benin;20;14;32;68;61;2;9.30769;2.315834
Bhutan;3;60;91;43;74;1;27.514162;90.433601
Bolivia;91;90;56;54;73;3;-16.290154;-63.588653
Bosnia and Herzegovina;2;51;88;44;87;2;43.915886;17.679076
Botswana;89;87;98;59;68;13;-22.328474;24.684866
Brazil;105;117;42;67;83;15;-14.235004;-51.92528
Brunei;1;70;90;20;90;1;4.535277;114.727669
Bulgaria;42;130;74;66;82;2;42.733883;25.48583
Burkina Faso;20;15;11;45;56;2;12.238333;-1.561593
Burundi;22;12;4;12;53;3;-3.373056;29.918886
Cambodia;85;32;40;23;80;8;12.565679;104.990963
Cameroon;18;41;10;16;54;21;7.369722;12.354722
Canada;39;137;120;85;95;19;56.130366;-106.346771
Cape Verde;1;35;46;76;85;2;16.002082;-24.013197
Central African Republic;48;21;7;56;46;10;6.611111;20.939444
Chad;50;6;24;14;48;46;15.454166;18.732207
Chile;66;111;80;81;92;27;-35.675147;-71.542969
China;27;61;76;9;85;30;35.86166;104.195397
Colombia;80;107;101;50;83;19;4.570868;-74.297333
Comoros;50;27;21;42;63;2;-11.875001;43.872219
Congo. Democratic Republic of (Kinshasa);56;80;80;17;46;7;-4.038333;21.758664
Congo. Republic of (Brazzaville);58;77;70;19;46;8;-0.228021;15.827659
Costa Rica;87;121;85;76;92;4;9.748917;-83.753428
Crimea *;60;100;100;75;47;7;44.952117;34.102417
Croatia;17;147;120;72;88;32;45.1;15.02
Cuba;20;118;102;8;91;5;21.521757;-77.781167
Cyprus;25;123;129;80;92;21;35.126413;33.429859
Czech Republic;20;136;107;81;89;4;49.817492;15.472962
Cote d'Ivoir;40;60;60;38;47;20;7.539989;-5.54708
Denmark;8;158;81;84;91;42;56.26392;9.501785
Djibouti;12;16;51;19;64;20;11.825138;42.590275
Dominica;80;95;77;81;89;15;15.414999;-61.370976
Dominican Republic;94;106;55;57;82;13;18.735693;-70.162651
Ecuador;76;66;23;45;87;21;-1.831239;-78.183406
Egypt;81;65;60;18;78;10;26.820553;30.802498
El Salvador;107;71;63;55;81;17;13.794185;-88.89653
Equatorial Guinea;82;77;34;65;51;21;1.650801;10.267895
Eritrea;40;2;44;21;66;9;15.179384;39.782334
Estonia;11;154;95;80;84;8;58.595272;25.013607
Ethiopia;70;17;52;8;67;21;9.145;40.489673
Fiji;86;105;128;49;77;8;-16.578193;179.414413
Finland;14;161;132;4;93;38;61.92411;25.748151
France;54;152;110;77;95;37;46.227638;2.213749
Gabon;45;69;12;25;67;21;-0.803689;11.609444
Gambia. The;41;60;40;11;60;4;13.443182;-15.310139
Gaza Strip *;30;15;44;6;63;12;31.354676;34.308825
Georgia;6;59;119;51;84;8;42.315407;43.356892
Germany;24;133;109;81;94;33;51.165691;10.451526
Ghana;65;45;92;69;63;13;7.946527;-1.023194
Greece;43;141;86;69;94;34;39.074208;21.824312
Grenada;46;51;59;74;81;20;12.262776;-61.604171
Guatemala;92;78;61;41;80;47;15.783471;-90.230759
Guinea;40;38;3;31;56;27;9.945587;-9.696645
Guinea-Bissau;38;25;22;29;53;13;11.803749;-15.180413
Guyana;50;91;65;60;71;21;4.860416;-58.93018
Haiti;26;11;19;32;66;22;18.971187;-72.285215
Honduras;110;78;31;34;83;13;15.199999;-86.241905
Hong Kong *;1;77;79;50;98;30;22.396428;114.109497
Hungary;34;135;113;64;84;4;47.162494;19.503304
Iceland;16;160;126;4;96;31;64.963051;-19.020835
India;55;36;45;62;71;22;20.593684;78.96288
Indian Kashmir *;60;20;66;38;69;20;33.778175;76.5761714
Indonesia;72;63;54;52;78;17;-0.789275;113.921327
Iran;77;64;70;10;83;5;32.427908;53.688046
Iraq;82;54;28;18;76;4;33.223191;43.679291
Ireland;61;143;108;82;93;34;53.41291;-8.24389
Israel;48;114;30;66;95;36;31.046051;34.851612
Italy;58;134;123;74;96;35;41.87194;12.56738
Jamaica;103;109;104;61;82;13;18.109581;-77.297508
Japan;7;124;1;82;98;43;36.204824;138.252924
Jordan;53;92;106;27;83;8;30.585164;36.238414
Kazakhstan;67;96;125;16;72;2;48.019573;66.923684
Kenya;99;49;90;38;64;17;-0.023559;37.906193
Kiribati;50;47;6;77;75;12;-3.370417;-168.734039
Kosovo;30;50;40;39;70;2;42.602636;20.902977
Kuwait;26;57;84;27;84;1;29.31166;47.481766
Kyrgyzstan;70;88;100;28;73;2;41.20438;74.766098
Laos;24;30;38;6;70;12;19.85627;102.495496
Latvia;32;140;71;71;80;11;56.879635;24.603189
Lebanon;69;74;47;33;92;8;33.854721;35.862285
Lesotho;120;23;25;53;45;17;-29.609988;28.233608
Liberia;41;13;50;48;62;5;6.428055;-9.429499
Libya;84;52;55;14;85;2;26.3351;17.228331
Liechtenstein;11;120;120;84;92;12;47.166;9.555373
Lithuania;41;139;106;77;80;4;55.169438;23.881275
Luxembourg;49;142;120;84;93;29;49.815273;6.129583
Macedonia;36;113;90;44;66;2;41.608635;21.745275
Madagascar;24;3;17;43;69;8;-18.766947;46.869107
Malawi;133;28;36;51;54;17;-13.254308;34.301525
Malaysia;98;101;110;34;85;16;4.210484;101.975766
Maldives;64;40;49;33;89;7;3.202778;73.22068
Mali;24;7;29;34;54;21;17.570692;-3.996166
Malta;21;153;68;82;92;21;35.937496;14.375416
Marshall Islands;22;160;77;78;81;24;7.131474;171.184478
Mauritania;12;20;5;22;64;27;21.00789;-10.940835
Mauritius;78;89;26;76;83;4;-20.348404;57.552152
Mexico;75;98;70;52;89;21;23.634501;-102.552784
Micronesia;3;150;80;79;76;12;7.425554;150.550812
Moldova;59;108;100;47;76;7;47.411631;28.369885
Monaco;1;90;90;73;70;14;43.750298;7.412841
Mongolia;104;56;82;71;73;2;46.862496;103.846656
Montenegro;37;116;80;57;84;48;42.708678;19.37439
Morocco;68;100;39;32;78;25;31.791702;-7.09262
Mozambique;27;9;16;43;47;18;-18.665695;35.529562
Myanmar;30;26;60;19;70;13;21.913965;95.956223
Nagorno-Karabakh *;22;16;50;24;60;15;39.8754355;46.677344
Namibia;96;88;37;62;68;24;-22.95764;18.49041
Nauru;39;50;70;70;59;20;-0.522778;166.931503
Nepal;33;29;41;38;75;30;28.394857;84.124008
Netherlands;19;127;94;85;94;39;52.132633;5.291266
New Zealand;38;151;126;84;94;19;-40.900557;174.885971
Nicaragua;60;55;114;41;84;17;12.865416;-85.207229
Niger;15;4;9;39;59;2;17.607789;8.081666
Nigeria;106;43;30;36;50;12;9.081999;8.675277
North Korea;20;30;80;21;70;17;40.339852;127.510093
Northern Cyprus *;7;80;60;64;67;15;35.2480359;33.6577243
Norway;60;145;131;4;95;26;60.472024;8.468946
Oman;13;46;83;17;87;1;21.512583;55.923255
Pakistan;83;34;33;32;72;8;30.375321;69.345116
Pakistani Kashmir *;26;30;40;19;70;9;33.9259055;73.7810334
Palau;1;140;80;78;81;10;7.51498;134.58252
Panama;74;112;103;69;86;13;8.537981;-80.782127
Papua New Guinea;111;24;70;45;65;28;-6.314993;143.95555
Paraguay;47;84;50;51;80;18;-23.442503;-58.443832
Peru;97;93;66;58;84;17;-9.189967;-75.015152
Philippines;40;99;90;52;75;18;12.879721;121.774017
Poland;23;125;64;79;86;18;51.919438;19.145136
Portugal;31;155;80;83;92;44;39.399872;-8.224454
Puerto Rico *;98;120;70;77;68;20;18.220833;-66.590149
Qatar;1;79;105;18;89;1;25.354826;51.183884
Romania;18;129;87;69;83;5;45.943161;24.96676
Russia;62;131;1;15;74;3;61.52401;105.318756
Rwanda;75;31;2;16;68;17;-1.940278;29.873888
Samoa;5;81;79;66;82;14;-13.759029;-172.104629
San Marino;6;138;80;4;66;10;43.94236;12.457777
Saudi Arabia;12;73;72;3;85;1;23.885942;45.079162
Senegal;33;53;20;63;67;27;14.497401;-14.452362
Serbia;35;115;90;63;83;4;44.016521;21.005859
Seychelles;25;58;97;54;82;4;-4.679574;55.491977
Sierra Leone;30;18;77;52;39;17;8.460555;-11.779889
Singapore;2;148;62;38;96;9;1.352083;103.819836
Slovakia;20;138;89;74;85;13;48.669026;19.699024
Slovenia;50;157;117;78;92;36;46.151241;14.995463
Solomon Islands;13;22;27;54;73;10;-9.64571;160.156194
Somalia;90;1;66;13;54;12;5.152149;46.199616
Somaliland *;6;140;65;31;55;11;9.4117434;46.8252838
South Africa;109;85;67;64;57;30;-30.559482;22.937506
South Korea;15;86;90;69;70;25;35.907757;127.766922
South Ossetia *;90;30;77;5;53;16;42.3842131;44.0480845
South Sudan;89;26;76;7;54;5;6.8769919;31.3069788
Spain;22;156;96;81;96;30;40.463667;-3.74922
Sri Lanka;28;62;93;42;84;4;7.873054;80.771797
St. Kitts and Nevis;20;120;67;73;67;10;17.357822;-62.782998
St. Lucia;24;60;76;78;58;14;13.909444;-60.978893
St. Vincent and Grenadines;27;98;77;77;60;13;13.2528179;-61.1970774
Sudan;29;10;69;46;65;4;12.862807;30.217636
Suriname;28;72;13;62;78;25;3.919305;-56.027783
Swaziland;39;48;53;11;45;19;-26.522503;31.465866
Sweden;63;159;129;4;95;45;60.128161;18.643501
Switzerland;10;146;118;82;96;27;46.818188;8.227512
Syria;101;68;78;2;38;9;34.802075;38.996815
Sao tome e principe;22;50;80;67;50;10;0.18636;6.613081
Taiwan;3;104;70;74;60;30;23.69781;120.960515
Tajikistan;10;94;99;9;73;3;38.861034;71.276093
Tanzania;93;44;8;47;64;17;-6.369028;34.888822
Thailand;73;76;48;23;84;21;15.870032;100.992541
Tibet *;9;90;70;1;70;10;30.1533605;88.7878678
Timor-Leste;8;39;68;52;73;20;-8.874217;125.727539
Togo;40;19;14;36;56;21;8.619543;0.824782
Tonga;4;67;35;61;81;23;-21.178986;-175.198242
Transnistria *;30;100;80;16;60;9;47.2152972;29.4638054
